Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -332.2569    -332.2603       0.0034     0.5
0.0005        -332.2569    -332.2603       0.0035     0.5
0.0010        -332.2569    -332.2606       0.0038     0.6
0.0015        -332.2569    -332.2612       0.0043     0.6
0.0020        -332.2569    -332.2620       0.0051     0.8
0.0025        -332.2569    -332.2631       0.0062     0.9
0.0030        -332.2569    -332.2644       0.0075     1.1
0.0035        -332.2569    -332.2660       0.0091     1.3
0.0040        -332.2569    -332.2678       0.0109     1.6
0.0045        -332.2569    -332.2698       0.0129     1.9
0.0050        -332.2569    -332.2720       0.0151     2.2
0.0055        -332.2569    -332.2745       0.0175     2.6
0.0060        -332.2569    -332.2771       0.0202     2.9
0.0065        -332.2569    -332.2800       0.0230     3.4
0.0070        -332.2569    -332.2830       0.0260     3.8
0.0075        -332.2569    -332.2862       0.0292     4.3
0.0080        -332.2570    -332.2895       0.0326     4.8
0.0085        -332.2570    -332.2930       0.0360     5.3
0.0090        -332.2570    -332.2966       0.0396     5.8
0.0095        -332.2570    -332.3003       0.0434     6.3
0.0100        -332.2570    -332.3042       0.0472     6.9
0.0105        -332.2570    -332.3081       0.0511     7.5
0.0110        -332.2570    -332.3121       0.0551     8.0
0.0115        -332.2570    -332.3161       0.0591     8.6
0.0120        -332.2570    -332.3202       0.0632     9.2
0.0125        -332.2571    -332.3244       0.0673     9.8
0.0130        -332.2571    -332.3285       0.0714    10.4
0.0135        -332.2571    -332.3326       0.0756    11.0
0.0140        -332.2571    -332.3368       0.0797    11.6
0.0145        -332.2571    -332.3409       0.0838    12.2
0.0150        -332.2571    -332.3449       0.0878    12.8
0.0155        -332.2571    -332.3490       0.0918    13.4
0.0160        -332.2572    -332.3529       0.0958    14.0
0.0165        -332.2572    -332.3568       0.0996    14.5
0.0170        -332.2572    -332.3606       0.1034    15.1
0.0175        -332.2572    -332.3642       0.1070    15.6
0.0180        -332.2572    -332.3678       0.1106    16.1
0.0185        -332.2572    -332.3713       0.1140    16.6
0.0190        -332.2573    -332.3746       0.1173    17.1
0.0195        -332.2573    -332.3778       0.1205    17.6
0.0200        -332.2573    -332.3808       0.1235    18.0
0.0205        -332.2573    -332.3837       0.1264    18.4
0.0210        -332.2573    -332.3864       0.1291    18.8
0.0215        -332.2573    -332.3889       0.1316    19.2
0.0220        -332.2574    -332.3913       0.1340    19.6
0.0225        -332.2574    -332.3935       0.1361    19.9
0.0230        -332.2574    -332.3955       0.1381    20.2
0.0235        -332.2574    -332.3974       0.1399    20.4
0.0240        -332.2574    -332.3990       0.1416    20.7
0.0245        -332.2575    -332.4005       0.1430    20.9
0.0250        -332.2575    -332.4017       0.1443    21.1
0.0255        -332.2575    -332.4028       0.1453    21.2
0.0260        -332.2575    -332.4037       0.1462    21.3
0.0265        -332.2575    -332.4044       0.1469    21.4
0.0270        -332.2575    -332.4050       0.1474    21.5
0.0275        -332.2576    -332.4053       0.1477    21.6
0.0280        -332.2576    -332.4055       0.1479    21.6
0.0285        -332.2576    -332.4055       0.1479    21.6
0.0290        -332.2576    -332.4053       0.1477    21.6
0.0295        -332.2576    -332.4050       0.1473    21.5
0.0300        -332.2577    -332.4045       0.1468    21.4
0.0305        -332.2577    -332.4038       0.1461    21.3
0.0310        -332.2577    -332.4030       0.1453    21.2
0.0315        -332.2577    -332.4021       0.1444    21.1
0.0320        -332.2577    -332.4010       0.1433    20.9
0.0325        -332.2578    -332.3998       0.1421    20.7
0.0330        -332.2578    -332.3985       0.1407    20.5
0.0335        -332.2578    -332.3971       0.1393    20.3
0.0340        -332.2578    -332.3956       0.1378    20.1
