Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -328.1538    -330.4677       2.3139   337.8
0.0005        -328.1529    -330.4468       2.2939   334.8
0.0010        -328.1518    -330.4177       2.2659   330.7
0.0015        -328.1511    -330.3966       2.2456   327.8
0.0020        -328.1512    -330.3942       2.2430   327.4
0.0025        -328.1521    -330.4086       2.2566   329.4
0.0030        -328.1532    -330.4269       2.2737   331.9
0.0035        -328.1540    -330.4319       2.2779   332.5
0.0040        -328.1542    -330.4116       2.2575   329.5
0.0045        -328.1534    -330.3656       2.2123   322.9
0.0050        -328.1521    -330.3071       2.1550   314.6
0.0055        -328.1511    -330.2564       2.1053   307.3
0.0060        -328.1510    -330.2294       2.0784   303.4
0.0065        -328.1514    -330.2296       2.0782   303.4
0.0070        -328.1520    -330.2512       2.0993   306.4
0.0075        -328.1525    -330.2855       2.1331   311.4
0.0080        -328.1531    -330.3233       2.1702   316.8
0.0085        -328.1536    -330.3542       2.2005   321.2
0.0090        -328.1540    -330.3687       2.2148   323.3
0.0095        -328.1540    -330.3609       2.2069   322.1
0.0100        -328.1535    -330.3302       2.1768   317.7
0.0105        -328.1526    -330.2838       2.1312   311.1
0.0110        -328.1515    -330.2351       2.0836   304.1
0.0115        -328.1507    -330.2000       2.0493   299.1
0.0120        -328.1504    -330.1907       2.0403   297.8
0.0125        -328.1508    -330.2112       2.0604   300.7
0.0130        -328.1518    -330.2548       2.1030   307.0
0.0135        -328.1530    -330.3065       2.1534   314.3
0.0140        -328.1542    -330.3468       2.1925   320.0
0.0145        -328.1548    -330.3583       2.2035   321.6
0.0150        -328.1544    -330.3336       2.1793   318.1
0.0155        -328.1527    -330.2820       2.1293   310.8
0.0160        -328.1505    -330.2308       2.0804   303.7
0.0165        -328.1492    -330.2147       2.0655   301.5
0.0170        -328.1499    -330.2529       2.1030   307.0
0.0175        -328.1521    -330.3354       2.1833   318.7
0.0180        -328.1543    -330.4293       2.2751   332.1
0.0185        -328.1554    -330.5005       2.3451   342.3
0.0190        -328.1554    -330.5300       2.3746   346.6
0.0195        -328.1546    -330.5164       2.3618   344.8
0.0200        -328.1536    -330.4700       2.3164   338.1
0.0205        -328.1526    -330.4059       2.2533   328.9
0.0210        -328.1517    -330.3395       2.1877   319.3
0.0215        -328.1510    -330.2845       2.1335   311.4
0.0220        -328.1507    -330.2515       2.1008   306.6
0.0225        -328.1510    -330.2445       2.0935   305.6
0.0230        -328.1518    -330.2589       2.1071   307.6
0.0235        -328.1528    -330.2821       2.1292   310.8
0.0240        -328.1537    -330.2977       2.1440   313.0
0.0245        -328.1542    -330.2917       2.1375   312.0
0.0250        -328.1540    -330.2576       2.1036   307.1
0.0255        -328.1532    -330.1994       2.0462   298.7
0.0260        -328.1522    -330.1301       1.9779   288.7
0.0265        -328.1515    -330.0657       1.9142   279.4
0.0270        -328.1508    -330.0194       1.8686   272.8
0.0275        -328.1502    -330.0030       1.8528   270.4
