Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -330.3983    -332.4406       2.0423   298.1
0.0005        -330.3419    -332.3993       2.0575   300.3
0.0010        -330.3315    -332.2844       1.9528   285.1
0.0015        -330.3632    -332.1263       1.7631   257.4
0.0020        -330.3558    -331.9688       1.6130   235.4
0.0025        -330.4021    -331.8465       1.4443   210.8
0.0030        -330.4464    -331.7686       1.3222   193.0
0.0035        -330.4824    -331.7375       1.2551   183.2
0.0040        -330.4872    -331.7292       1.2420   181.3
0.0045        -330.4190    -331.7063       1.2873   187.9
0.0050        -330.3961    -331.6470       1.2509   182.6
0.0055        -330.3949    -331.5467       1.1517   168.1
0.0060        -330.3815    -331.4124       1.0309   150.5
0.0065        -330.3776    -331.2754       0.8978   131.0
0.0070        -330.3789    -331.1644       0.7855   114.7
0.0075        -330.3706    -331.1021       0.7315   106.8
0.0080        -330.3407    -331.0975       0.7568   110.5
0.0085        -330.3027    -331.1466       0.8439   123.2
0.0090        -330.2822    -331.2310       0.9488   138.5
0.0095        -330.2568    -331.3233       1.0665   155.7
0.0100        -330.2144    -331.3950       1.1806   172.3
0.0105        -330.2223    -331.4296       1.2073   176.2
0.0110        -330.1571    -331.4306       1.2734   185.9
0.0115        -330.1520    -331.4126       1.2606   184.0
0.0120        -330.1558    -331.3874       1.2316   179.8
0.0125        -330.1505    -331.3568       1.2062   176.1
0.0130        -330.1690    -331.3368       1.1679   170.5
0.0135        -330.1639    -331.3365       1.1727   171.2
0.0140        -330.1916    -331.3685       1.1769   171.8
0.0145        -330.1613    -331.4257       1.2644   184.6
0.0150        -330.1616    -331.4869       1.3254   193.5
0.0155        -330.1384    -331.5379       1.3995   204.3
0.0160        -330.1164    -331.5617       1.4453   211.0
0.0165        -330.1277    -331.5538       1.4262   208.2
0.0170        -330.1163    -331.5162       1.3999   204.3
0.0175        -330.1798    -331.4615       1.2817   187.1
0.0180        -330.1849    -331.4079       1.2230   178.5
0.0185        -330.1722    -331.3768       1.2046   175.8
0.0190        -330.1361    -331.3742       1.2382   180.7
0.0195        -330.1313    -331.3999       1.2686   185.2
0.0200        -330.1165    -331.4466       1.3301   194.2
0.0205        -330.0662    -331.5045       1.4384   210.0
0.0210        -330.0573    -331.5499       1.4926   217.9
0.0215        -330.0618    -331.5651       1.5033   219.4
0.0220        -330.0628    -331.5399       1.4770   215.6
0.0225        -330.0624    -331.4776       1.4151   206.6
